pullover_type,day_of_week,hour,adjusted_point,desired_point,curb_geo,polygon_type
Pickup,4,0,POINT(-122.424387700723 37.7766938332243),POINT(-122.424410599723 37.7767674865337),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,3,8,POINT(-122.42373650292 37.7767812145462),POINT(-122.42373002203 37.77674605828),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,2,13,POINT(-122.424387700723 37.7766938332243),POINT(-122.424380614993 37.7768528249401),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,7,14,POINT(-122.422889922455 37.7773778190985),POINT(-122.422984198519 37.7769374171958),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,7,12,POINT(-122.426457490898 37.7764721777419),POINT(-122.426187287651 37.7767166070556),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Pickup,7,0,POINT(-122.422282094727 37.7770130351663),POINT(-122.422760562768 37.7769605404777),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,5,22,POINT(-122.423425333329 37.7768612136313),POINT(-122.42254081512 37.7768266710287),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,5,22,POINT(-122.423425333329 37.7768612136313),POINT(-122.42254081512 37.7768266710287),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,19,POINT(-122.423115718239 37.776394319937),POINT(-122.423149419061 37.7769976887519),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,6,22,POINT(-122.423001999489 37.7767477208701),POINT(-122.423064130037 37.776984298147),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,5,21,POINT(-122.423209475626 37.776820223827),POINT(-122.423109064486 37.7764753188105),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,4,21,POINT(-122.426371858924 37.7767765886656),POINT(-122.423998935429 37.7766842888978),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,2,19,POINT(-122.423608786105 37.7767970128174),POINT(-122.423604119858 37.7766909977582),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,23,POINT(-122.423425333329 37.7768612136313),POINT(-122.422550666184 37.7769113177598),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,1,23,POINT(-122.423425333329 37.7768612136313),POINT(-122.422550666184 37.7769113177598),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,5,17,POINT(-122.423330798425 37.7768281299506),POINT(-122.422740342202 37.7771040893142),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,3,17,POINT(-122.425942661086 37.7765363877665),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,2,21,POINT(-122.424655057037 37.7768302824437),POINT(-122.424362727845 37.7768014756014),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,6,23,POINT(-122.422282094727 37.7770130351663),POINT(-122.422419059343 37.7770633872223),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,1,21,POINT(-122.423001999489 37.7767477208701),POINT(-122.423029565064 37.7769387316824),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,20,POINT(-122.423001999489 37.7767477208701),POINT(-122.422897699585 37.7768637666901),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,1,20,POINT(-122.423001999489 37.7767477208701),POINT(-122.422897699585 37.7768637666901),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,5,14,POINT(-122.42332198438 37.7768290232458),POINT(-122.422740342202 37.7771040893142),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,7,13,POINT(-122.425384277859 37.7766123184562),POINT(-122.425419965394 37.7767606249844),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,1,9,POINT(-122.424655057037 37.7768302824437),POINT(-122.425341677469 37.776678927771),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,1,21,POINT(-122.425942661086 37.7765363877665),POINT(-122.426072967359 37.7766334899377),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,6,21,POINT(-122.426457490898 37.7764721777419),POINT(-122.426119542308 37.7764026674878),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Dropoff,6,21,POINT(-122.426457490898 37.7764721777419),POINT(-122.426119542308 37.7764026674878),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,3,21,POINT(-122.426240775333 37.7763211770386),POINT(-122.426147711933 37.7765450708256),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,3,18,POINT(-122.424849741087 37.7766378002019),POINT(-122.424983418741 37.7766054813353),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,1,12,POINT(-122.425942661086 37.7765363877665),POINT(-122.425956918743 37.7765499589292),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,4,18,POINT(-122.426457490898 37.7764721777419),POINT(-122.426177177698 37.7767032141985),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Pickup,4,20,POINT(-122.421148608457 37.7771766722894),POINT(-122.422140636447 37.7770553034545),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,4,21,POINT(-122.426457490898 37.7764721777419),POINT(-122.426005394763 37.7763402883653),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Pickup,5,10,POINT(-122.423757760237 37.7767785297617),POINT(-122.423708159824 37.7765732137795),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,5,19,POINT(-122.423425333329 37.7768612136313),POINT(-122.422740342202 37.7771040893142),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,4,23,POINT(-122.426492832429 37.7764272114263),POINT(-122.42627508002 37.7762619171583),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Pickup,1,11,POINT(-122.424655057037 37.7768302824437),POINT(-122.424799709135 37.7767751050329),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,5,22,POINT(-122.423779103962 37.7767758910958),POINT(-122.423798805857 37.7768252286797),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,5,21,POINT(-122.425942661086 37.7765363877665),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,2,13,POINT(-122.423864133169 37.7767650064983),POINT(-122.423835358048 37.7764499065127),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,2,20,POINT(-122.423864133169 37.7767650064983),POINT(-122.424029697972 37.7768991780854),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,7,16,POINT(-122.426457490898 37.7764721777419),POINT(-122.426378080422 37.7765141965925),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Pickup,1,1,POINT(-122.424146440012 37.7767715986847),POINT(-122.42441440182 37.7766744978751),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,2,18,POINT(-122.422803509856 37.7769471141156),POINT(-122.423016776021 37.7770536048045),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,7,19,POINT(-122.424726778234 37.7769542755059),POINT(-122.425035178821 37.7765164259612),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,3,12,POINT(-122.425942661086 37.7765363877665),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,2,13,POINT(-122.423842875873 37.7767676913044),POINT(-122.423746526696 37.7764182676399),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,4,22,POINT(-122.424196126629 37.7767185859009),POINT(-122.424279168036 37.7768206327536),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,2,20,POINT(-122.423001999489 37.7767477208701),POINT(-122.423123063291 37.7768755165176),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,3,19,POINT(-122.426492832429 37.7764272114263),POINT(-122.425817539259 37.7767631626712),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Dropoff,2,8,POINT(-122.423864133169 37.7767650064983),POINT(-122.423895068575 37.7766462971795),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,7,22,POINT(-122.425942661086 37.7765363877665),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,1,11,POINT(-122.426284066636 37.776333305778),POINT(-122.426127924068 37.7764266971304),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,1,21,POINT(-122.423001999489 37.7767477208701),POINT(-122.423604119858 37.7766909977582),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,19,POINT(-122.425942661086 37.7765363877665),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,1,9,POINT(-122.424655057037 37.7768302824437),POINT(-122.424799709135 37.7767751050329),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,5,13,POINT(-122.424387700723 37.7766938332243),POINT(-122.424335421855 37.7767592752608),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,15,POINT(-122.424655057037 37.7768302824437),POINT(-122.424445509886 37.7765856150255),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,1,22,POINT(-122.423209475626 37.776820223827),POINT(-122.423072771279 37.7770874185975),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,5,17,POINT(-122.422292291468 37.7769560284288),POINT(-122.422266021896 37.7768752677252),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,6,21,POINT(-122.424655057037 37.7768302824437),POINT(-122.424637601991 37.7765860746122),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,2,22,POINT(-122.424463224198 37.7766844176431),POINT(-122.424459076457 37.7766302964243),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,7,15,POINT(-122.424726778234 37.7769542755059),POINT(-122.424909191803 37.7765300221144),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,5,17,POINT(-122.426284066636 37.776333305778),POINT(-122.425557703608 37.7766774756103),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,3,17,POINT(-122.423367091543 37.7768286725309),POINT(-122.423387571225 37.7769839126038),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,3,22,POINT(-122.425686541386 37.7765724914371),POINT(-122.425693799847 37.7765802186135),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,5,19,POINT(-122.425922268312 37.7765392434072),POINT(-122.425926415995 37.7765243729812),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,7,15,POINT(-122.425212839269 37.776634806121),POINT(-122.425807861321 37.7766165256066),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,6,18,POINT(-122.422733688425 37.7764490718287),POINT(-122.42254081512 37.7768266710287),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,5,20,POINT(-122.425942661086 37.7765363877665),POINT(-122.426094397023 37.7765459849246),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,1,0,POINT(-122.422732219409 37.7768991019104),POINT(-122.422896489809 37.7768285884623),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Dropoff,6,18,POINT(-122.424849741087 37.7766378002019),POINT(-122.424776896631 37.7765500656232),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,1,19,POINT(-122.42483021221 37.7766853906467),POINT(-122.424029697972 37.7768991780854),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,3,22,POINT(-122.424655057037 37.7768302824437),POINT(-122.424625504433 37.7765277828562),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,2,21,POINT(-122.42401846446 37.7767878407125),POINT(-122.423816693101 37.7766882864034),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,5,18,POINT(-122.426492832429 37.7764272114263),POINT(-122.425875693276 37.7767451300797),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Pickup,7,15,POINT(-122.424655057037 37.7768302824437),POINT(-122.42363591946 37.7769172006618),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,4,13,POINT(-122.426284066636 37.776333305778),POINT(-122.425881223522 37.7766194052092),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,7,11,POINT(-122.425942661086 37.7765363877665),POINT(-122.425943006726 37.7765593269507),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,4,14,POINT(-122.423330798425 37.7768281299506),POINT(-122.423170330847 37.7769960554717),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,1,17,POINT(-122.423001999489 37.7767477208701),POINT(-122.423330020715 37.7768900185263),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,6,22,POINT(-122.424655057037 37.7768302824437),POINT(-122.424699126694 37.7765595181101),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,7,14,POINT(-122.424655057037 37.7768302824437),POINT(-122.423752489114 37.7767386394481),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,1,21,POINT(-122.426284066636 37.776333305778),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,7,11,POINT(-122.424655057037 37.7768302824437),POINT(-122.424799709135 37.7767751050329),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,5,15,POINT(-122.424655057037 37.7768302824437),POINT(-122.424946780538 37.7767580772773),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,4,20,POINT(-122.425354034177 37.7765735666938),POINT(-122.42538263606 37.7764701879546),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,5,19,POINT(-122.42655893575 37.7764185104574),POINT(-122.426529383682 37.7762606843251),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Dropoff,1,0,POINT(-122.422042211789 37.7770437703056),POINT(-122.421991227953 37.7772396007505),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Pickup,6,19,POINT(-122.423001999489 37.7767477208701),POINT(-122.423196600193 37.7769892121714),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,7,14,POINT(-122.425200828187 37.7765932089297),POINT(-122.425204630256 37.7765996002103),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,2,19,POINT(-122.422546086304 37.7769790287345),POINT(-122.422552135203 37.7770192617324),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Dropoff,7,19,POINT(-122.422733688425 37.7764490718287),POINT(-122.42254081512 37.7768266710287),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Dropoff,1,13,POINT(-122.424849741087 37.7766378002019),POINT(-122.424776896631 37.7765500656232),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,6,18,POINT(-122.424655057037 37.7768302824437),POINT(-122.423408482964 37.7767098007088),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,5,1,POINT(-122.424146440012 37.7767715986847),POINT(-122.424379491646 37.7767519730573),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,3,6,POINT(-122.426240775333 37.7763211770386),POINT(-122.42572698138 37.7766432929754),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,4,18,POINT(-122.421163385249 37.7770887404333),POINT(-122.422110737483 37.7771039747568),"POLYGON((-122.4230182 37.7770217, -122.4229484 37.7767334, -122.421323 37.7769666, -122.4213874 37.7772422, -122.4230182 37.7770217))",polygon4
Dropoff,6,15,POINT(-122.427618484207 37.7763234139178),POINT(-122.42763058142 37.7764144910363),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Pickup,6,0,POINT(-122.424387700723 37.7766938332243),POINT(-122.424337927785 37.7768358565774),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Pickup,4,9,POINT(-122.425881396342 37.776544981255),POINT(-122.426047476423 37.7767162827758),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,1,16,POINT(-122.426457490898 37.7764721777419),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4279642 37.7763815, -122.4279159 37.7761441, -122.4262636 37.7763518, -122.4263119 37.7766275, -122.4279642 37.7763815))",polygon1
Dropoff,1,16,POINT(-122.426457490898 37.7764721777419),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,3,22,POINT(-122.425082359105 37.7766528379882),POINT(-122.425113726206 37.7768079261613),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Dropoff,6,10,POINT(-122.423367091543 37.7768286725309),POINT(-122.423389299468 37.7767460165065),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
Dropoff,1,21,POINT(-122.425942661086 37.7765363877665),POINT(-122.426045402584 37.7766179779217),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,6,0,POINT(-122.424655057037 37.7768302824437),POINT(-122.424674413124 37.7766302222495),"POLYGON((-122.4263119 37.7766275, -122.4262636 37.7763518, -122.4246221 37.7765172, -122.4246758 37.7768055, -122.4263119 37.7766275))",polygon2
Pickup,2,20,POINT(-122.424387700723 37.7766938332243),POINT(-122.424380614993 37.7768528249401),"POLYGON((-122.4246758 37.7768055, -122.4246221 37.7765172, -122.4229484 37.7767334, -122.4230182 37.7770217, -122.4246758 37.7768055))",polygon3
